id,name,description,image_path
1,Suspensión - Dirección,Amortiguadores,categories/1782921099567-548342151.jpeg
2,Motor,Motor,categories/1782921083477-577663752.jpeg
3,Aceites,Aceites,categories/1782921114118-140301017.jpeg
4,Accesorios,Accesorios,categories/1782921167802-909910116.jpeg
5,Baterias,Baterias,categories/1782921186429-759774451.jpeg
6,Carroceria,Carroceria,categories/1782921213419-582880705.jpg
7,Iluminación,Iluminación,categories/1782921618713-858865868.jpeg
8,Frenos,Frenos,categories/1782921563207-866777710.jpeg
9,Correas,Correas,categories/1782921444670-902621502.jpeg
10,Eléctricos,eléctricos ,categories/1782921473879-632020034.jpeg
11,Filtros,Filtros,categories/1782921496475-70144336.jpeg
12,Llantas,Llantas,categories/1782921657946-384596514.jpeg
