id,name,brand_id,image_path
1,AVEO,1,
2,AVEO EMOTION,1,
3,ACCENT,4,
4,ACCENT GYRO,4,
5,ACCENT I25,4,
6,ACCENT VERNA,4,
7,ACCENT VISION,4,
8,ATOS,4,
9,I10,4,
10,COROLLA,5,
11,RAV4,5,
12,FORTUNER,5,
13,COROLLA CROSS GR-S,5,
14,COROLLA CROSS HIBRIDA,5,
15,COROLLA CROSS XLI,5,
16,HILUX,5,
17,4RUNNER,5,
18,CAPTUR,3,
19,CLIO,3,
20,CLIO CAMPUS,3,
21,CLIO I,3,
22,CLIO II,3,
23,CLIO II 16V,3,
24,CLIO IV,3,
25,CLIO STYLE,3,
26,DUSTER,3,
27,DUSTER 4X2,3,
28,DUSTER 4X4,3,
29,FLUENCE,3,
30,KANGOO,3,
31,KOLEOS,3,
32,KWID,3,
33,LOGAN,3,
34,MASTER,3,
35,MASTER II,3,
36,MASTER III,3,
37,MEGANE,3,
38,MEGANE,3,
39,MEGANE 1.6,3,
40,MEGANE I,3,
41,MEGANE II,3,
42,MEGANE II AT,3,
43,MEGANE II MT,3,
44,R12,3,
45,R4,3,
46,R6,3,
47,R18,3,
48,R18 CTE,3,
49,R18 CTE/R12,3,
50,LAGUNA,3,
51,R18 GTL,3,
52,R18 GTX,3,
53,R19,3,
54,R21,3,
55,R21 2.0,3,
56,R21 RX,3,
57,R9,3,
58,R9 CARBURADOR,3,
59,R9 GAMA,3,
60,R9 TXE,3,
61,SANDERO,3,
62,SCALA,3,
63,SCENIC,3,
64,STEPWAY,3,
65,SYMBOL,3,
66,TRAFIC III,3,
67,TWINGO,3,
68,TWINGO II,3,
